,oscillator,ID,jacobian
116,True,6130146679249186543,"[  17.97694248  -28.06543431   25.88306122 -169.72167247  -45.70213486
   97.17065994  -63.22587854   33.94433449  -25.88306122]"
117,True,7833170562465572841,"[ -15.06809922    0.            6.59599884   50.60693298 -262.41571326
 -134.88960905  -51.73736007  256.16238815  162.87478035]"
118,True,4891812316479755954,"[ -84.10180857  383.94047953   -9.3446454   177.97026174 -439.30368418
   -3.99756411    0.           16.16809093  -12.92399004]"
119,True,7573823104090506504,"[ -79.81263604  163.56379747    0.          159.62527207 -225.70076809
  -19.88050057   11.82739979    0.          -14.64003866]"
120,True,2228594718452260014,"[-152.74392647   -6.03142722  478.70832446    0.          -16.47654744
   91.24782955   20.10202657    0.          -45.62391478]"
121,True,283105791952375559,"[ -350.39767904   -21.02316333   -11.2242121  -1143.69542539
  -211.49361322   -10.93311635  -140.16604569    21.02316333
   -27.25354026]"
122,True,5367811323476512451,"[-707.48260635   42.28338721 -100.56245247  458.47028655  -35.72082388
   72.89441694 -407.03743264 -287.02506329 -224.34764961]"
123,True,3197899916840794483,"[-146.77361426  397.18722422  227.75006409   88.01136149 -417.74081092
 -226.09994618   35.6858347  -406.97990313 -167.06990261]"
124,True,6950624700530566016,"[ -13.32470792    0.            3.29358563  -89.71920143 -117.11680853
  123.65389726 -187.77583461   96.50802666  246.64874162]"
125,True,8794456570671245496,"[ -89.98339794  160.88453987   89.38029993   94.73282139 -181.55873401
  -88.85258621   -4.74942345 -119.53615158  -60.33176633]"
126,True,3767920397475727983,"[-235.21273325   -7.16687325  208.75879258    0.          -13.35339925
   15.22943284   65.84437451    0.          -63.78342729]"
127,True,6338478637075240309,"[-487.91908006  -51.27595155  324.32734711    0.          -21.20408303
   54.36063403  125.51890715    0.          -54.36063403]"
128,True,1573943930288157842,"[ -274.68019772   -35.03098788    13.85374195 -1007.85628713
  -207.26582124     3.97077266   221.09095141    62.66550398
   -34.35075718]"
129,True,7997476962602060436,"[-17.59431829   0.          17.2753326  -35.42896975  76.50401341
  34.94031563  19.3270756    0.57075476 -43.57798193]"
130,True,6921346221078460589,"[ -245.82228611    13.82776765     0.          -276.32105529
  -124.35618976  1039.87234855   276.32105529    55.26421106
 -1020.30054212]"
